"id","version","process_name","excel_key","json_key","description","example","file_id","is_update","partner_api_key","can_update_stage","grouping","prefix_config","created_at","updated_at","created_by","field_order","updated_by","json_key_role"
124,1,Disbursement,PARTNERCODE,loanAccountDisbursementSchedule.partnerCode,"","",0,1,loanAccountDisbursementSchedule.partnerCode,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
125,1,Disbursement,PARTNERACCOUNTNO,loanAccountDisbursementSchedule.oldAccountNO,"","",0,1,loanAccountDisbursementSchedule.oldAccountNO,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
126,1,Disbursement,LENDER1ACCOUNTNO,loanAccountDisbursementSchedule.lender1.oldAccountNO,"","",0,1,loanAccountDisbursementSchedule.lender1.oldAccountNO,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
127,1,Disbursement,LENDER2ACCOUNTNO,loanAccountDisbursementSchedule.lender2.oldAccountNO,"","",0,1,loanAccountDisbursementSchedule.lender2.oldAccountNO,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
128,1,Disbursement,DISBURSEMENTDATE,loanAccountDisbursementSchedule.actualDisbursementDate,"","",0,1,loanAccountDisbursementSchedule.actualDisbursementDate,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
129,1,Disbursement,TRANSACTIONAMOUNT,loanAccountDisbursementSchedule.disbursementAmount,"","",0,1,loanAccountDisbursementSchedule.disbursementAmount,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
130,1,Disbursement,UTR,loanAccountDisbursementSchedule.referenceNumber,"","",0,1,loanAccountDisbursementSchedule.referenceNumber,,"","","2024-03-07 19:04:41","2024-05-27 12:51:03","",0.00,,OTHERS
131,1,Disbursement,TRANSACTIONSTATUS,loanAccountDisbursementSchedule.disbursementStatus,"","",0,1,loanAccountDisbursementSchedule.disbursementStatus,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
132,1,Disbursement,BENEFICIARYACCOUNTNO,loanAccountDisbursementSchedule.customerAccountNumber,"","",0,1,loanAccountDisbursementSchedule.customerAccountNumber,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
133,1,Disbursement,BENEFICIARYBANKNAME,loanAccountDisbursementSchedule.customerBankName,"","",0,1,loanAccountDisbursementSchedule.customerBankName,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
134,1,Disbursement,BENEFICIARYNAME,loanAccountDisbursementSchedule.customerNameInBank,"","",0,1,loanAccountDisbursementSchedule.customerNameInBank,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
135,1,Disbursement,BENEFICIARYBANKIFSC,loanAccountDisbursementSchedule.ifscCode,"","",0,1,loanAccountDisbursementSchedule.ifscCode,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
136,1,Disbursement,TRANCHENUMBER,loanAccountDisbursementSchedule.tranceNumber,"","",0,1,loanAccountDisbursementSchedule.tranceNumber,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
137,1,Disbursement,BANKACCOUNTGL,loanAccountDisbursementSchedule.disbursementFromBankAccountNumber,"","",0,1,loanAccountDisbursementSchedule.disbursementFromBankAccountNumber,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
138,1,Disbursement,FEEAMOUNT,loanAccountDisbursementSchedule.udf2,"","",0,1,loanAccountDisbursementSchedule.udf2,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
139,1,Disbursement,FUNDTRANSFEREDATE,loanAccountDisbursementSchedule.referenceDate,"","",0,1,loanAccountDisbursementSchedule.referenceDate,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
140,1,Disbursement,LENDER1DISBURSEMENTDATE,loanAccountDisbursementSchedule.lender1.disbursementDate,"","",0,1,loanAccountDisbursementSchedule.lender1.disbursementDate,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
141,1,Disbursement,LENDER1DISBURSEMENTAMOUNT,loanAccountDisbursementSchedule.lender1.netDisbursementAmount,"","",0,1,loanAccountDisbursementSchedule.lender1.netDisbursementAmount,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
142,1,Disbursement,LENDER1FUNDTRANSFERDATE,loanAccountDisbursementSchedule.lender1.referenceDate,"","",0,1,loanAccountDisbursementSchedule.lender1.referenceDate,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
143,1,Disbursement,LENDER1UTR,loanAccountDisbursementSchedule.lender1.referenceNumber,"","",0,1,loanAccountDisbursementSchedule.lender1.referenceNumber,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
144,1,Disbursement,LENDER1PRODUCTCODE,loanAccountDisbursementSchedule.lender1.productCode,"","",0,1,loanAccountDisbursementSchedule.lender1.productCode,,"","","2024-03-07 19:04:41","2024-05-27 12:51:02","",0.00,,OTHERS
